bairro,fisica,cidade,nacionalidade,est_civil,dt_nasc,uf,sexo,pep,desc_perfil,profissao,salario,cedido,regime,idade,profissao_cod,cluster
OLINDA,F,NILOPOLIS,Brasileira,Solteiro,1953-07-09,RJ,MASCULINO,Não,,Art De Cozinha (Sms),2208.6,Não,Mensalista,72.0,311,3
REALENGO,F,RIO DE JANEIRO,Brasileira,Solteiro,1943-05-23,RJ,MASCULINO,Não,,Agente De Portaria,3784.34,Não,Mensalista,82.0,243,3
AUSTIN,F,NOVA IGUACU,Brasileira,Casado,1959-08-13,RJ,FEMININO,Não,,Merendeira,1596.48,Não,Mensalista,66.0,812,2
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Divorciado,1946-11-23,RJ,MASCULINO,Não,,Trabalhador,995.2,Não,Mensalista,79.0,1202,2
OLARIA,F,RIO DE JANEIRO,Brasileira,Solteiro,1954-08-11,RJ,MASCULINO,Não,,Trabalhador,1786.87,Não,Mensalista,71.0,1202,2
PACIENCIA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1966-03-20,RJ,FEMININO,Não,,Professor Ii,7658.12,Não,Mensalista,59.0,1048,1
PACIENCIA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1966-03-20,RJ,FEMININO,Não,,Prof. I Lingua Portuguesa,7658.12,Não,Mensalista,59.0,967,1
MAGALHÃES BASTOS,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1968-03-02,RJ,FEMININO,Não,,Auxiliar De Enfermagem,1885.32,Não,Mensalista,57.0,608,0
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Desquitado,1955-10-01,RJ,FEMININO,Não,,Auxiliar De Serviços De Saúde,1600.84,Não,Mensalista,70.0,640,3
CASCADURA,F,RIO DE JANEIRO,Brasileira,Solteiro,1963-02-07,RJ,MASCULINO,Não,,Ag. Vigilancia,3660.72,Não,Mensalista,62.0,152,3
IRAJA,F,RIO DE JANEIRO,Brasileira,Solteiro,1961-10-13,RJ,MASCULINO,Não,,Motorista,3461.28,Não,Mensalista,64.0,827,2
JARDIM BOTANICO,F,RIO DE JANEIRO,Brasileira,Solteiro,1962-07-19,RJ,MASCULINO,Não,,Musico Instrumentista,8666.68,Não,Mensalista,63.0,834,1
EDSON PASSOS,F,MESQUITA,Brasileira,Casado,1953-01-23,RJ,MASCULINO,Não,,Trabalhador,4599.5,Não,Mensalista,72.0,1202,2
S.EUGENIA-N.IGU,F,RIO DE JANEIRO,Brasileira,Não informado,1962-03-29,RJ,FEMININO,Não,,Tec. Fazenda,6099.24,Não,Mensalista,63.0,1158,2
OLINDA,F,NILOPOLIS,Brasileira,Divorciada,1956-10-08,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,5016.79,Não,Mensalista,69.0,474,3
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1956-09-09,RJ,FEMININO,Não,,Professor Ii,2669.09,Não,Mensalista,69.0,1048,2
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1956-09-09,RJ,FEMININO,Não,,Professor Ii,5369.13,Não,Mensalista,69.0,1048,2
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Solteiro,1958-07-16,RJ,FEMININO,Não,,Servente,1666.6,Não,Mensalista,67.0,1116,2
