cluster,profissao,count
0,Merendeira,204
0,Professor Ii,142
0,Aux De Enfermagem 2º Grau,79
0,Agente De Educação Infantil,52
0,Aux. De Enfermagem,44
0,Professor,44
0,Guarda Municipal,42
0,Ag. De Educação Infantil,40
0,Auxiliar De Enfermagem,38
0,Agente Educador Ii,29
0,Aux De Enfermagem,29
0,Professor Docente I - 18 Horas,29
0,Prof Ii,18
0,Aposentada,15
0,Enfermeiro,15
0,Professor De Educação Infantil,15
0,Agente De Administração,14
0,Aux De Controle De Endemias,14
0,Prof. Ii,14
0,Ag De Educação Infantil,12
0,Professor De Ensino Fundamenta,12
0,Aux. Creche,11
0,Auxiliar De Controle De Endemi,11
0,Secretario Escolar,11
0,Tecnico De Enfermagem,11
0,Aux De Enfermagem 1º Grau,10
0,Gari,9
0,Prof.Ii,9
0,Enfermeira,8
0,Professora Ii,8
0,Secretaria Escolar,8
0,Ag De Administração,7
0,Aux. De Creche,7
0,Professora,7
0,Recepcionista,7
0,Ag. De Administração,6
0,Assistente,6
0,Aux. Controle De Endemias,6
0,Aux. De Controle De Endemias,6
0,Auxiliar De Enfermagem 2º Grau,6
0,Professor Docente I,6
0,Soldado Bm,6
0,3º Sargento Pm,5
0,Agente Auxiliar De Creche,5
0,Agente De Ed. Infantil,5
0,Aux. De Enfermagem - 2º Grau,5
0,Inspetor De Alunos,5
0,Prof. De Educação Infantil,5
0,Professor Adjunto De Educação,5
0,Professor Docente I - 30 Horas,5
0,Ag Aux De Creche,4
0,Ag. Educação Infantil,4
0,Agente De Educaçao Infantil,4
0,Agente De Portaria,4
0,Assistente Ii,4
0,Assistente Social,4
0,Aux. Enfermagem,4
0,Aux.Creche,4
0,Auxiliar De Enfermagem 2° Grau,4
0,Prof,4
0,Prof De Educação Infantil,4
0,Prof I - Ingles,4
0,Prof. De Ensino Fundamental,4
0,Soldado Pm,4
0,Tecnico De Laboratorio,4
0,Ag Educador Ii,3
0,Ag. De Ed. Infantil,3
0,Agente Administrativo,3
0,Agente De Educação Ii,3
0,Assistente Administrativo De S,3
0,Assistente Executivo,3
0,Aux. De Educação Infantil,3
0,Aux. De Enf.,3
0,Aux. De Enfermagem 2º Grau,3
0,Aux. De Laboratorio,3
0,Aux.De Enfermagem,3
0,Auxiliar De Laboratorio,3
0,Cabo Bm,3
0,Cabo Pm,3
0,Datilografo,3
0,Pensionista,3
0,Professor Docente I 18 Horas,3
0,3º Sargento Bm,2
0,Ag Educação Infantil,2
0,Ag. De Educaçao Infantil,2
0,Ag. Educador Ii,2
0,Agente Aux. De Creche,2
0,Agente De Documentação Médica,2
0,Agente De Educacao Infantil,2
0,Agente De Educador Ii,2
0,Agente Educador,2
0,Ajudante I,2
0,Aluno Of Pm,2
0,Assessor,2
0,Aux De Enfermagem ( Enq. Forma,2
0,Aux De Enfermagem 2ª Grau,2
0,Aux De Laboratorio,2
0,Aux. De Enfermagem - 2ª Grau,2
0,Auxiliar De Enfermagem ( Enq.,2
0,Auxiliar De Enfermagem 2ª Grau,2
0,Chefe De Setor,2
0,Continuo,2
0,Coordenador,2
0,Copeira,2
0,Copeiro,2
0,Farmaceutico,2
0,Inspetor De Alunos 2 G,2
0,Investigador Policial,2
0,Merendeiro,2
0,Prof De Ensino Fundamental,2
0,Prof I,2
0,Prof I - Geografia,2
0,Prof I Ciencias,2
0,Prof I Educação Fisica,2
0,Prof. Educação Infantil,2
0,Prof. I - História,2
0,Professor Docente - 18 Horas,2
0,Professor Docente 1,2
0,Professor Docente I - 18 Hora,2
0,Profissional De Nivel Medio,2
0,Soldado,2
0,Soldado Classe A,2
0,2º Sargento,1
0,Ag Adm,1
0,Ag Administração,1
0,Ag De Administração / Chefe Ii,1
0,Ag De Apoio De Educação Infant,1
0,Ag De Apoio Educação Especial,1
0,Ag De Doc Medica/Chefe Ii,1
0,Ag De Educacao Infantil,1
0,Ag De Preparador De Alimentos,1
0,Ag De Preparo De Alimentos,1
0,Ag De Segurança Socioeducativo,1
0,Ag. Administração,1
0,Ag. Auxiliar De Creche,1
0,Ag. De Adm.,1
0,Ag. De Administraçao,1
0,Ag. De Administração/Assistent,1
0,Ag. De Doc. Medica,1
0,Ag. De Doc. Médica / Ghefe Ii,1
0,Ag.Educador Ii,1
0,Ag.Educação Infantil,1
0,Agen. De Administração/ Subg,1
0,Agente Administraçao,1
0,Agente Aux De Creche,1
0,Agente Aux.De Creche,1
0,Agente De Adm.,1
0,Agente De Administação,1
0,Agente De Administracao,1
0,Agente De Administracão,1
0,Agente De Administração / Assi,1
0,Agente De Adminstração,1
0,Agente De Aducação Infantil,1
0,Agente De Apoio Educacional Es,1
0,Agente De Educ. Infantil,1
0,Agente De Educacão Infantil,1
0,Agente De Inspeção De Controle,1
0,Agente De Preparo De Alimentos,1
0,Agente De Recepção Acolhedor,1
0,Agente De Seg. Socioeducativa,1
0,Agente De Segurança Socioeduca,1
0,Agente Educardor Ii,1
0,Agente Educação Infantil,1
0,Agregada,1
0,Ajudante Ii,1
0,Aposentado,1
0,Ascensorista,1
0,Ass. Social,1
0,Assessor De Planejamento,1
0,Assist.Ciencia Tec F.Ibge,1
0,Assistente De Diretoria,1
0,Assistente I,1
0,Assistente Operacional,1
0,Assistente Tecnico Administrat,1
0,Assistente Técnico Administrat,1
0,Assistência Social,1
0,Atendente De Consult Dentario,1
0,Atendente De Consultorio Denta,1
0,Auditor Pleno,1
0,Aux Administrativo,1
0,Aux De Cont. De Endemias,1
0,Aux De Controle De Endemias/Ch,1
0,Aux De Controle Endemias,1
0,Aux De Enfermagem - 2º Grau,1
0,Aux De Enfermagem 2 º Grau,1
0,Aux De Enfermagem 2° Grau,1
0,Aux De Enfermagem-2ª Grau,1
0,Aux De Enfermagem-2ºgrau,1
0,Aux De Enfermgem 2º Grau,1
0,Aux De Imob Em Ortopedista,1
0,Aux De Imobilização Em Ortoped,1
0,Aux Operacional,1
0,"Aux, De Controle De Endemias",1
0,Aux. De Enfermagem - 1. Grau,1
0,Aux. De Enfermagem 1º Grau,1
0,Aux. De Enfermagem 2 Grau,1
0,Aux. De Enfermagem- 2ª Grau,1
0,Aux. De Enfermagem-2ª Grau,1
0,Aux. De Enfermagem-2º Grau,1
0,Aux. De Enfermagen,1
0,Aux. De Enfrmagem - 2º Grau,1
0,Auxi De Controle De Endemias,1
0,Auxi. De Controle De Endemias,1
0,Auxil De Enfermagem,1
0,Auxilair De Enfermagem 2º Grau,1
0,Auxiliar De Contas A Pagar,1
0,Auxiliar De Creche,1
0,Auxiliar De Enferagem,1
0,Auxiliar De Enfermagem (Enq. F,1
0,Auxiliar De Enfermagem - 2ª Gr,1
0,Auxiliar De Enfermagem - 2° Gr,1
0,Auxiliar De Enfermagem - 2º Gr,1
0,Auxiliar De Enfermagem Enq. Fo,1
0,Auxiliar De Enfermagem- 2 Grau,1
0,Auxiliar De Enfermagem-2ª Grau,1
0,Auxiliar De Enfermagem-2ºgrau,1
0,Auxiliar De Enfermagen,1
0,Auxiliar De Enfernagem,1
0,Auxiliar De Imobilizaçao Em Or,1
0,Auxiliar De Serviços De Apoio,1
0,Auxiliar De Serviços Gerais,1
0,Auxiliar De Turma I (Rio Luz),1
0,Auxiliar Financeira,1
0,Auxiliar Operacional,1
0,Auxiliarc De Enfermagem,1
0,Axiliar De Enfermagem,1
0,Cabo Da Pm,1
0,Cabo P.M.,1
0,Cargo Em Comissão,1
0,Carpinteiro,1
0,Chefe De Equipe Tecnica,1
0,Contrato Temporário,1
0,Contínuo,1
0,Cozinheiro,1
0,Datilografo / Secretario I,1
0,Datilografo/Subgerente Iv,1
0,Diretora Financeira,1
0,Educação,1
0,Egente De Educação Infantil,1
0,Eletricista De Rede,1
0,Enfemeiro,1
0,Enfermeira/Chefe Ii,1
0,Enfermeiro / Chefe Ii,1
0,Enfermeiro/Chefe,1
0,Esp. Assist. 1,1
0,Especial / Assistente I,1
0,Especial/ Assistente,1
0,Especialista Nivel De Apoio,1
0,Garia,1
0,Gerente Operacional,1
0,Guarda De Endemia,1
0,Iii Sargento B M,1
0,Inspetor De Aluno 2 G,1
0,Inspetor De Alunos 2G,1
0,Lavandeiro,1
0,Medico Dermatologia,1
0,Merendeira / Chefe Ii,1
0,Militar,1
0,Militar - Pm,1
0,Militar Ativo,1
0,Militar Da Aeronautica,1
0,Nomeado Cargo Comis.,1
0,Nutricionista,1
0,P Ii-Coordenador Pedagógico,1
0,Prf. De Educação Infantil,1
0,Prof - Inglês,1
0,Prof / Secretaria,1
0,Prof Adj Educaçãi Infantil,1
0,Prof De Educacao Infantil,1
0,Prof De Educaçao Infantil,1
0,Prof I - Artes Plasticas,1
0,Prof I - Ciencias,1
0,Prof I - Ciência,1
0,Prof I - Educacao Fisica,1
0,Prof I - Educação Fisica,1
0,Prof I - Inglês,1
0,Prof I - Lingua Portuguesa,1
0,Prof I - Matematica/Diretor Iv,1
0,Prof I / Coordenador Pedagogic,1
0,Prof Ii - Lic. Plena,1
0,Prof Ii - Ocupação Pedagogica,1
0,"Prof,I Educação Fisica",1
0,Prof- Historia,1
0,Prof. De Educaçao Infantil,1
0,Prof. I,1
0,Professor Adjunto De Ed Infant,1
0,Professor Adjunto De Edicação,1
0,Professor De Educaçao Infantil,1
0,Professor De Ensino Fundament,1
0,Professor De Ensino Medio,1
0,Professor Docente I 30 Horas,1
0,Professor Faetec I 40 H,1
0,Professor I - Ciencias,1
0,Professor I - Geografia,1
0,Professor I Ingles,1
0,Professor Ii / Diretor Iv,1
0,Professor Ii Ingles,1
0,Professor Ii/Dir. Adjunto,1
0,Professorf Ii,1
0,Proii,1
0,Prossefor Docente,1
0,Recepcionista (Sms),1
0,Rofressor Ii,1
0,Roupeiro,1
0,Secretario Ii,1
0,Servente,1
0,Soldado Qm 07/01,1
0,Tec. De Enfermagem,1
0,Tecnico Em Ti,1
0,Tecnico Universitário,1
0,Tecnico Universitário Ii,1
0,Terc. Sargento,1
0,Terceiro Sargento,1
0,Técnico Em Radiologia,1
1,Professor Ii,531
1,Professor De Ensino Fundamenta,43
1,Professor,41
1,Prof Ii,26
1,Professor De Educação Infantil,19
1,Professor I,14
1,Professora Ii,13
1,Aposentada,12
1,Guarda Municipal,12
1,Agente De Administração,11
1,Prof.Ii,11
1,Prof. De Ensino Fundamental,10
1,Professora,10
1,Prof I,9
1,Prof De Ensino Fundamental,8
1,Prof. De Educação Infantil,8
1,Inspetor De Policia Penal,7
1,Assistente Social,6
1,Enfermeiro,6
1,Investigador Policial,6
1,Subtenente Pm,6
1,Ag De Administração,5
1,1º Sargento Pm,4
1,Engenheiro,4
1,Oficial De Cartorio Policial,4
1,Prof,4
1,Professor Docente Ii,4
1,Professor Ii / Diretor Iv,4
1,Subtenente Bm,4
1,Tecnico De Laboratorio,4
1,Tecnico Universitário Ii,4
1,Técnico Universitário Ii,4
1,Aux De Procuradoria,3
1,Enfermeira,3
1,Inspetor De Policia,3
1,Prof I - Ciencias,3
1,Prof I - Geografia,3
1,Prof. Ii,3
1,Professor De Educaçao Infantil,3
1,1º Tenente Bm,2
1,2º Sargento Bm,2
1,2º Sargento Pm,2
1,Ag. De Administração,2
1,Assistente,2
1,Aux. De Enfermagem,2
1,Cabo Pm,2
1,Datilografo,2
1,Digitador,2
1,Motorista,2
1,Oficial De Cartório Policial,2
1,Procurador Federal,2
1,Procuradora Geral,2
1,Prof De Educação Infantil,2
1,Prof I - Matematica,2
1,Professor 1 E 2 Grau,2
1,Professor De Ens. Fundamental,2
1,Professor Docente I - 30 Horas,2
1,Professor Educação Infantil,2
1,Professor Ensino Fundamental,2
1,Professor I - História,2
1,Professor Ii / Assistente Ii,2
1,Professor Ii/Diretor Iv,2
1,Servente,2
1,Técnico Universitário Superior,2
1,1º Sargento,1
1,1º Sargento Da Pm,1
1,3º Sargento Pm,1
